variable	year	topic	leftp	n
CLASSSTR	1995	110	87.09677419	600
CLASSSTR	1996	110	83.51648352	600
COMINFLU	1974	200	10.67073171	2365
COMINFLU	1979	200	15.11555278	1893
COMINFLU	1981	200	11.36363636	600
COMPREH	1974	130	51.80023229	2365
COMPREH	1979	130	40.38054968	1893
COMPREH	1981	130	44.44444444	600
COMPSCH	1965	130	40.51407589	600
COMPSCH	1966	130	48.7804878	600
COMPSCH	1967	130	52.27272727	600
COMPSCH	1968	130	51.13636364	600
CONCERN	1984	180	46.26582278	1646
CONCERN	1985	180	46.68656716	1768
CONCERN	1986	180	46.84065934	3067
CONCERN	1987	180	43.15868828	2767
CONCERN	1989	180	30.9819213	2931
CONCERN	1990	180	27.11213518	2699
CONCERN	1991	180	35.58951965	1423
CONCERN	1993	180	51.9121813	1452
CONCERN	1994	180	46.7191601	1186
CONCERN	1995	180	44.34857636	1201
CONTROL2	1953	100	43.1372549	600
CONTROL2	1953	100	43.1372549	600
CONTROLS	1948	100	72.5	600
CONTROLS	1949	100	70.58823529	600
CONTROLS	1949	100	74.28571429	600
CONTROLS	1949	100	67.74193548	600
CONTROLS	1951	100	67.56756757	600
CRIME1	1973	200	12.85714286	600
CRIME1	1976	200	9.722222222	600
CRIME1	1981	200	10.52631579	600
CRIME1	1985	200	11.42857143	600
CRIME1	1985	200	12.98701299	600
CRIME1	1990	200	11.26760563	600
CRIME1	1993	200	8.108108108	600
CRIME2	1973	200	18.91891892	600
CRIME2	1976	200	17.14285714	600
CRIME2	1981	200	21.05263158	600
CRIME2	1985	200	29.72972973	600
CRIME2	1985	200	26.66666667	600
CRIME2	1990	200	26.08695652	600
CRIME2	1993	200	16.66666667	600
CRIME3	1973	200	53.84615385	600
CRIME3	1976	200	45.3125	600
CRIME3	1981	200	65.67164179	600
CRIME3	1985	200	69.11764706	600
CRIME3	1985	200	59.375	600
CRIME3	1990	200	67.69230769	600
CRIME3	1993	200	78.125	600
CRIME4	1981	200	86.84210526	600
CRIME4	1985	200	86.66666667	600
CRIME4	1985	200	71.01449275	600
CRIME4	1990	200	67.1875	600
CRIME4	1993	200	87.32394366	600
CRIMEHR	2001	200	9.989858012	2191
CRIMEHR	2005	200	9.319477037	3226
CRIMELIB	2001	200	23.8700565	1954
CRIMELIB	2005	200	23.65591398	4160
CRIMREH	2001	200	43.51042367	2007
CRIMREH	2005	200	33.5089141	3226
DAMLIVES	2000	120	78.65470852	2992
DAMLIVES	2001	120	79.77637336	2821
DAMLIVES	2002	120	74.59330144	2927
DAMLIVES	2003	120	76.31160572	882
DAMLIVES	2004	120	72.50580046	2611
DAMLIVES	2005	120	72.34891676	2696
DEATHAB1	1962	200	21.34831461	600
DEATHAB1	1962	200	19	600
DEATHAB1	1964	200	21	600
DEATHAB1	1965	200	24.7311828	600
DEATHAB1	1970	200	30.68181818	600
DEATHAB2	1947	200	25.80645161	600
DEATHAB2	1947	200	27.77777778	600
DEATHAB2	1953	200	17.04545455	600
DEATHAB2	1955	200	29.06976744	600
DEATHAPP	1986	200	20.31122031	1315
DEATHAPP	1987	200	18.57777778	1243
DEATHAPP	1989	200	19.41580756	2529
DEATHAPP	1990	200	24.45170322	2349
DEATHAPP	1991	200	33.08128544	1219
DEATHAPP	1993	200	20.30995106	1328
DEATHAPP	1994	200	23.90483384	2956
DEATHAPP	1995	200	25.18973618	3145
DEATHAPP	1996	200	23.91876645	3103
DEATHAPP	1998	200	29.68897267	2546
DEATHAPP	1999	200	32.50359023	2478
DEATHAPP	2000	200	31.56042237	2991
DEATHAPP	2001	200	37.68421053	2821
DEATHAPP	2002	200	33.59278984	2929
DEATHAPP	2003	200	31.45448656	3635
DEATHAPP	2004	200	35.76007326	2610
DEATHAPP	2005	200	32.03819559	3539
DEATHNEV	2001	200	51.89873418	2191
DEATHNEV	2005	200	45.77910004	3226
DEATHPEN1	1963	200	21.97802198	600
DEATHPEN1	1966	200	18.08510638	600
DEATHPEN1	1969	200	20.43010753	600
DEATHPEN1	1970	200	18.82352941	600
DEATHPEN10	1981	200	77.01149425	600
DEATHPEN10	1982	200	77.52808989	600
DEATHPEN10	1983	200	75.28089888	600
DEATHPEN10	1987	200	74.15730337	600
DEATHPEN10	1989	200	70.11494253	600
DEATHPEN10	1994	200	83.90804598	600
DEATHPEN11	1981	200	21.875	600
DEATHPEN11	1982	200	22.91666667	600
DEATHPEN11	1983	200	23.71134021	600
DEATHPEN11	1987	200	27.08333333	600
DEATHPEN11	1989	200	22.91666667	600
DEATHPEN11	1994	200	34.375	600
DEATHPEN12	1981	200	32.63157895	600
DEATHPEN12	1982	200	35.10638298	600
DEATHPEN12	1983	200	32.29166667	600
DEATHPEN12	1987	200	33.68421053	600
DEATHPEN12	1989	200	35.10638298	600
DEATHPEN12	1994	200	43.47826087	600
DEATHPEN13	1981	200	53.26086957	600
DEATHPEN13	1982	200	54.44444444	600
DEATHPEN13	1983	200	51.64835165	600
DEATHPEN13	1987	200	49.46236559	600
DEATHPEN13	1989	200	49.45054945	600
DEATHPEN13	1994	200	61.53846154	600
DEATHPEN2	1983	200	36.81365576	3955
DEATHPEN2	1986	200	24.89233419	1316
DEATHPEN2	1992	200	45.76502732	3534
DEATHPEN2	1997	200	42.81024294	3615
DEATHPEN2P	1992	200	45.88235294	2856
DEATHPEN2P	1994	200	35.75562701	1836
DEATHPEN2P	1995	200	38.69636964	1497
DEATHPEN2P	1997	200	48.73803307	1574
DEATHPEN3	1979	200	25.39404553	1893
DEATHPEN3	1981	200	24.17582418	600
DEATHPEN3	1983	200	28.08988764	600
DEATHPEN4	1978	200	23.95833333	600
DEATHPEN4	1981	200	24.46808511	600
DEATHPEN4	1982	200	21.875	600
